"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","3.807895","0","2"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","9","1","35.519104","0","9"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","1.188915","0","25"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","2.773818","0","3"
"/Game/Assets/L3_TrainCarriage/Materials/Masters/MM_basic_gray_01.MM_basic_gray_01","0","6","7","1","5.156228","0","7"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","1089.028687","0","88"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","3.210566","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","33","33","1","20.268999","0","33"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","333","356","1","49.462902","0","356"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","1.467000","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","6.855266","0","6"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","2.571045","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","41","46","6","45.663666","0","46"
"/Game/Assets/L3_TrainCarriage/Materials/Masters/MM_overheadlight_01.MM_overheadlight_01","0","3","3","1","3.265834","0","3"
"/Game/Assets/L2_MentorsLodging/Materials/Masters/MM_Glass_01a.MM_Glass_01a","0","14","14","2","95.934875","0","14"
"/Game/Assets/L3_TrainCarriage/Materials/Masters/MM_glass_02.MM_glass_02","0","18","18","2","68.016380","0","18"
"/Game/Assets/L3_TrainCarriage/Materials/Masters/MM_basic_material_01.MM_basic_material_01","0","17","19","2","6.108714","0","19"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","11","11","1","14.624226","22","17"
"/Game/Assets/L5_Vault/Server2/Material_001.Material_001","0","3","3","1","2.210536","0","3"
"/Game/Assets/L3_TrainCarriage/Materials/Masters/MM_scrolling_marquee_01.MM_scrolling_marquee_01","0","3","3","1","2.492923","0","3"
"/Game/Assets/L5_Vault/Server3/Material_001.Material_001","0","3","3","1","1.187150","0","3"
"/Game/Assets/L5_Vault/Wall/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Assets/L5_Vault/CircuitBoard/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Assets/L5_Vault/Ceilings/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Assets/L5_Vault/Documents1/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Assets/L5_Vault/Server1/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Assets/L5_Vault/MainServer/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Assets/L3_TrainCarriage/Materials/Masters/MM_window_dirt_01.MM_window_dirt_01","0","8","8","1","6.775927","0","8"
"/Game/Assets/L3_TrainCarriage/Materials/Masters/MM_decal_scratches_01.MM_decal_scratches_01","0","9","9","1","7.138551","0","9"
"/Game/Assets/L2_MentorsLodging/HardDrive_Fragments/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Assets/L2_MentorsLodging/HardDrive/Material_001.Material_001","0","3","3","1","0.000000","0","3"
"/Game/Assets/L3_TrainCarriage/FortuneTellerMEsh/Material_001.Material_001","0","3","3","1","2.716261","0","3"
